forcate_date,forecast,temperature,humidity,windSpeed,windDirection,cloud,latitude,longtitude,area
2018-03,30.6556,9.8954,308966,3.11370860927152,186.9278,2.281,35.4776509,129.380778,Ulsan
2018-04,30.6757,14.4827,296185,2.55265765765767,191.2304,2.3514,35.4776509,129.380778,Ulsan
2018-05,30.6757,18.2051,329910,2.60876198779426,162.6138,2.6249,35.4776509,129.380778,Ulsan
2018-06,30.6757,21.7755,347480,2.25333333333333,172.9977,2.6721,35.4776509,129.380778,Ulsan
2018-07,30.6757,26.4917,379469,2.87641673931998,133.7742,2.2801,35.4776509,129.380778,Ulsan
2018-08,30.6757,26.8644,370000,3.27504359176113,149.8407,2.8714,35.4776509,129.380778,Ulsan
2018-09,30.6757,21.2664,346610,3.54671171171172,155.9705,3.0471,35.4776509,129.380778,Ulsan
2018-10,30.6757,15.2663,310798,3.46157367000872,231.3126,2.1515,35.4776509,129.380778,Ulsan
2018-11,30.6757,11.3642,287340,2.3143018018018,259.2178,2.3336,35.4776509,129.380778,Ulsan
2018-12,30.6757,4.6463,238828,3.69788578901482,291.9497,2.2182,35.4776509,129.380778,Ulsan
2019-01,30.6757,3.9241,203440,3.2294681778553,288.417,1.8901,35.4776509,129.380778,Ulsan
2019-02,30.6757,6.5335,227395,2.85419884169885,249.0736,2.5116,35.4776509,129.380778,Ulsan
2019-03,30.6757,10.5026,265795,3.69422406277244,238.4993,2.437,35.4776509,129.380778,Ulsan
2019-04,30.6757,13.8714,289185,3.16641891891891,180.9901,2.5342,35.4776509,129.380778,Ulsan
2019-05,30.6757,19.7962,296955,2.85076285963383,210.6541,2.019,35.4776509,129.380778,Ulsan
2019-06,30.6757,21.3782,342475,2.98502252252252,141.8428,2.616,35.4776509,129.380778,Ulsan
2019-07,30.6757,24.6064,390370,3.60738884176112,154.6676,2.85,35.4776509,129.380778,Ulsan
2019-08,30.6757,26.1554,385500,3.49357018526591,156.2611,2.5905,35.4776509,129.380778,Ulsan
2019-09,30.6757,22.5441,375565,4.0684009002252,87.2995,3.3255,35.4776509,129.380778,Ulsan
2019-10,30.6757,17.1683,338785,4.19258936551873,134.4893,2.4599,35.4776509,129.380778,Ulsan
2019-11,30.6757,11.7167,286755,3.46222972972973,215.0356,2.3435,35.4776509,129.380778,Ulsan
2019-12,30.6757,6.1,245935,3.3228639930253,271.2657,2.1051,35.4776509,129.380778,Ulsan
2020-01,30.6757,6.1264,275345,3.7933304272014,246.2328,2.5059,35.4776509,129.380778,Ulsan
2020-02,30.6757,6.9115,250750,3.39608574091332,223.6792,2.2724,35.4776509,129.380778,Ulsan
2020-03,30.6757,10.4475,263392,4.20085004359196,191.1075,2.1853,35.4776509,129.380778,Ulsan
2020-04,30.6757,13.2885,241774,4.52909909909908,212.177,2.064,35.4776509,129.380778,Ulsan
2020-05,30.6757,18.291,327810,3.58132083653008,163.7871,2.2895,35.4776509,129.380778,Ulsan
2020-06,30.6757,22.4124,342128,2.85292792792792,146.9275,2.4606,35.4776509,129.380778,Ulsan
2020-07,30.6757,22.7012,407435,2.93635571054925,130.8925,3.2116,35.4776509,129.380778,Ulsan
2020-08,30.6757,27.019,391165,3.89829991216213,178.2851,2.7502,35.4776509,129.380778,Ulsan
2020-09,30.6757,21.2313,353940,4.73171170563063,127.736,2.6345,35.4776509,129.380778,Ulsan
2020-10,30.6757,16.1336,289365,3.6973626852659,180.1654,2.3557,35.4776509,129.380778,Ulsan
2020-11,30.6757,10.8176,243605,3.25943693693693,254.7029,2.0236,35.4776509,129.380778,Ulsan
2020-12,30.6757,2.9843,220535,4.34640366172625,298.9309,1.8655,35.4776509,129.380778,Ulsan
2021-01,30.6757,3.1417,227315,4.09880122057539,248.4412,2.2977,35.4776509,129.380778,Ulsan
2021-02,30.6757,7.0835,212345,4.3981418918919,228.3617,2.0572,35.4776509,129.380778,Ulsan
2021-03,32.2414,8.2586,3880,4.70172413793103,91.8448,3.6207,35.4776509,129.380778,Ulsan
